,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
0,nicolasgramlich/AndEngine,AndEngine_5,0.996216216,0.999060057,0.999060057,0.0,1.0,0.997095436,0.997521355,0.998058252,1.0,1.0,0.028571429,1.0,30,4,0,1,1,0,1,0,0,0,0,1,1
1,nicolasgramlich/AndEngine,AndEngine_3,0.026486486,0.138171564,0.138171564,0.0,1.0,0.049792531,0.020033101,0.036893204,0.0,0.0,0.0,0.013157895,30,4,0,1,1,0,1,0,0,0,0,1,0
2,nicolasgramlich/AndEngine,AndEngine_4,0.007027027,0.004551301,0.004551301,0.56361966,0.19681742,0.010788382,0.006282895,0.031067961,0.015332198,0.0,1.0,0.0,30,4,0,1,1,0,1,0,0,0,0,1,0
3,nicolasgramlich/AndEngine,AndEngine_2,0.003243243,0.001385179,0.001385179,0.677078548,0.165829146,0.012863071,0.003608154,0.013592233,0.04770017,0.0,0.0,0.013157895,30,4,0,1,1,0,1,0,0,0,0,1,0
4,nicolasgramlich/AndEngine,AndEngine_1,0.0,0.0,0.0,0.997703261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,0,1,1,0,1,0,0,0,0,1,0
5,androidannotations/androidannotations,androidannotations_5,0.979115479,0.997736769,0.997736769,0.839831401,0.916575192,0.996268657,0.990305295,0.952702703,0.003752345,0.0,0.0,1.0,63,2,0,0,0,0,1,0,0,0,0,1,0
6,androidannotations/androidannotations,androidannotations_1,0.303439803,0.269324513,0.269324513,0.004214963,0.559824369,0.587064677,0.202654586,0.722972973,1.0,1.0,1.0,0.159090909,63,2,0,0,0,0,1,0,0,0,0,1,1
7,androidannotations/androidannotations,androidannotations_10,0.171990172,0.235724234,0.235724234,0.25711275,0.811196487,0.470149254,0.236938588,0.716216216,0.001876173,0.28,0.459770115,0.727272727,63,2,0,0,0,0,1,0,0,0,0,1,0
8,androidannotations/androidannotations,androidannotations_2,0.137592138,0.281511142,0.281511142,0.849315068,0.567508233,0.577736318,0.159980258,0.405405405,0.0,0.2,0.517241379,0.227272727,63,2,0,0,0,0,1,0,0,0,0,1,0
9,androidannotations/androidannotations,androidannotations_7,0.212530713,0.2795961,0.2795961,0.0,0.942919868,0.498134328,0.211661849,0.682432432,0.006566604,0.0,0.425287356,0.318181818,63,2,0,0,0,0,1,0,0,0,0,1,1
10,androidannotations/androidannotations,androidannotations_9,0.061425061,0.025940111,0.025940111,0.062170706,0.264544457,0.062189055,0.040083198,0.114864865,0.034709193,0.0,0.0,0.0,63,2,0,0,0,0,1,0,0,0,0,1,0
11,androidannotations/androidannotations,androidannotations_6,0.001228501,0.0,0.0,0.825079031,0.001097695,0.0,0.001110484,0.0,0.0,0.0,0.0,0.0,63,2,0,0,0,0,1,0,0,0,0,1,0
12,androidannotations/androidannotations,androidannotations_4,0.0,0.004178273,0.004178273,0.092729189,0.472008782,0.02300995,0.011034337,0.006756757,0.0,0.0,0.0,0.0,63,2,0,0,0,0,1,0,0,0,0,1,0
13,androidannotations/androidannotations,androidannotations_3,0.001228501,0.023328691,0.023328691,0.975763962,0.149286498,0.029850746,0.006186984,0.040540541,0.0,0.0,0.08045977,0.0,63,2,0,0,0,0,1,0,0,0,0,1,0
14,androidannotations/androidannotations,androidannotations_8,0.0,0.002176184,0.002176184,0.788198103,0.0,0.009328358,0.0,0.013513514,0.0,0.0,0.034482759,0.0,63,2,0,0,0,0,1,0,0,0,0,1,0
15,atom/atom-shell,atom-shell_10,0.99840891,0.999305142,0.999305142,0.0,1.0,0.997398092,0.99930679,0.998330551,1.0,1.0,1.0,1.0,178,11,0,1,1,0,0,1,1,1,0,1,1
