,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
0,nicolasgramlich/AndEngine,AndEngine_5,1.788368373,1.772303488,1.772303488,-1.020738581,1.082451477,1.787207901,1.788592143,1.787862917,1.787106017,1.788854382,-0.398798361,1.788658277,30,4,0,1,1,0,1,0,0,0,0,1,1
1,nicolasgramlich/AndEngine,AndEngine_3,-0.407916444,-0.208100618,-0.208100618,-1.020738581,1.082451477,-0.375057938,-0.418802572,-0.409237738,-0.482541824,-0.447213595,-0.463120677,-0.432357795,30,4,0,1,1,0,1,0,0,0,0,1,0
2,nicolasgramlich/AndEngine,AndEngine_4,-0.451989049,-0.515483188,-0.515483188,0.264348879,-0.565803472,-0.464086842,-0.449853719,-0.4225535,-0.447743135,-0.447213595,1.788160391,-0.461971343,30,4,0,1,1,0,1,0,0,0,0,1,0
3,nicolasgramlich/AndEngine,AndEngine_2,-0.460558723,-0.522766596,-0.522766596,0.523042117,-0.629396207,-0.459351262,-0.455893902,-0.462500784,-0.374279235,-0.447213595,-0.463120677,-0.432357795,30,4,0,1,1,0,1,0,0,0,0,1,0
4,nicolasgramlich/AndEngine,AndEngine_1,-0.467904157,-0.525953087,-0.525953087,1.254086166,-0.969703277,-0.488711859,-0.46404195,-0.493570895,-0.482541824,-0.447213595,-0.463120677,-0.461971343,30,4,0,1,1,0,1,0,0,0,0,1,0
5,androidannotations/androidannotations,androidannotations_5,2.658897566,2.582858929,2.582858929,0.890900697,1.257398482,1.93059413,2.690796453,1.574116371,-0.320682723,-0.468183589,-0.742721458,2.149456002,63,2,0,0,0,0,1,0,0,0,0,1,0
6,androidannotations/androidannotations,androidannotations_1,0.391269001,0.188583523,0.188583523,-1.119011829,0.256285041,0.753053402,0.055732329,0.958236548,2.84441999,2.695219037,2.207815842,-0.238828445,63,2,0,0,0,0,1,0,0,0,0,1,1
7,androidannotations/androidannotations,androidannotations_10,-0.049887828,0.078140131,0.078140131,-0.510715478,0.961684974,0.416613194,0.170428529,0.940122435,-0.326643368,0.417569147,0.613847415,1.374877262,63,2,0,0,0,0,1,0,0,0,0,1,0
8,androidannotations/androidannotations,androidannotations_2,-0.165330737,0.228640712,0.228640712,0.913711811,0.277847484,0.726209768,-0.087033482,0.106873263,-0.332604014,0.164496937,0.783418525,-0.04518376,63,2,0,0,0,0,1,0,0,0,0,1,0
9,androidannotations/androidannotations,androidannotations_7,0.086169885,0.222346011,0.222346011,-1.129150101,1.33132686,0.497144095,0.085865881,0.849551873,-0.311741755,-0.468183589,0.51210475,0.213009153,63,2,0,0,0,0,1,0,0,0,0,1,1
10,androidannotations/androidannotations,androidannotations_9,-0.420954321,-0.611415764,-0.611415764,-0.979610582,-0.572328854,-0.757348383,-0.48814585,-0.672033571,-0.222332074,-0.468183589,-0.742721458,-0.690666043,63,2,0,0,0,0,1,0,0,0,0,1,0
11,androidannotations/androidannotations,androidannotations_6,-0.622979411,-0.696680352,-0.696680352,0.855416744,-1.311612626,-0.936305941,-0.618528009,-0.979973483,-0.332604014,-0.468183589,-0.742721458,-0.690666043,63,2,0,0,0,0,1,0,0,0,0,1,0
12,androidannotations/androidannotations,androidannotations_4,-0.627102372,-0.682946459,-0.682946459,-0.906108106,0.009857117,-0.870091645,-0.585328029,-0.96185937,-0.332604014,-0.468183589,-0.742721458,-0.690666043,63,2,0,0,0,0,1,0,0,0,0,1,0
13,androidannotations/androidannotations,androidannotations_3,-0.622979411,-0.619999448,-0.619999448,1.217859986,-0.895765504,-0.850406313,-0.601544716,-0.871288808,-0.332604014,-0.468183589,-0.505321905,-0.690666043,63,2,0,0,0,0,1,0,0,0,0,1,0
14,androidannotations/androidannotations,androidannotations_8,-0.627102372,-0.689527283,-0.689527283,0.766706859,-1.314692975,-0.909462307,-0.622243105,-0.943745258,-0.332604014,-0.468183589,-0.640978793,-0.690666043,63,2,0,0,0,0,1,0,0,0,0,1,0
15,atom/atom-shell,atom-shell_10,4.987116719,4.978770506,4.978770506,-0.714080832,2.376564503,4.780724435,4.98672096,4.887740642,4.388477635,4.944528066,4.457194686,4.995014065,178,11,0,1,1,0,0,1,1,1,0,1,1
16,atom/atom-shell,atom-shell_7,0.089059329,0.000481815,0.000481815,-0.183085643,2.178528574,0.007772191,0.124244566,0.281935238,-0.313851439,-0.234438831,-0.35310869,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
17,atom/atom-shell,atom-shell_23,-0.006736012,-0.009405034,-0.009405034,-0.707759461,0.684257475,0.347102753,-0.026212423,0.308154244,-0.21588625,-0.042625242,0.686956905,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
18,atom/atom-shell,atom-shell_18,-0.041444468,0.019214792,0.019214792,-0.714080832,0.7670725,0.664108936,-0.050241108,0.421769938,1.84138272,-0.234438831,1.878698732,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
19,atom/atom-shell,atom-shell_12,-0.124744764,-0.10306992,-0.10306992,-0.663509862,1.922882194,-0.014552188,-0.141357183,-0.006473829,-0.21588625,-0.234438831,-0.35310869,-0.151395061,178,11,0,1,1,0,0,1,1,1,0,1,0
20,atom/atom-shell,atom-shell_21,-0.148346514,-0.212865981,-0.212865981,-0.695116719,0.360198683,-0.309233991,-0.204118239,-0.041432503,-0.313851439,-0.234438831,-0.35310869,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
21,atom/atom-shell,atom-shell_27,-0.198326692,-0.237843284,-0.237843284,-0.031372732,-0.017869909,-0.327093495,-0.225165262,-0.259924221,-0.313851439,-0.234438831,-0.35310869,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
22,atom/atom-shell,atom-shell_22,-0.201103368,-0.010445755,-0.010445755,-0.714080832,-0.511159404,-0.081525325,-0.204761342,-0.207486209,-0.313851439,-0.234438831,-0.35310869,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
23,atom/atom-shell,atom-shell_19,-0.206656721,-0.170716782,-0.170716782,-0.714080832,-0.38513654,-0.295839364,-0.211923177,-0.259924221,-0.264868844,-0.042625242,-0.22310049,-0.188220886,178,11,0,1,1,0,0,1,1,1,0,1,0
24,atom/atom-shell,atom-shell_1,-0.201103368,-0.215467783,-0.215467783,3.167241148,-0.590373776,-0.313698867,-0.204644414,-0.233705215,-0.313851439,-0.234438831,-0.35310869,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
25,atom/atom-shell,atom-shell_13,-0.217763427,-0.251893016,-0.251893016,0.929475707,-0.69479272,-0.327093495,-0.224639087,-0.303622564,-0.313851439,-0.234438831,-0.266436557,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
26,atom/atom-shell,atom-shell_9,-0.223316781,-0.251893016,-0.251893016,-0.227335242,-0.741601212,-0.30030424,-0.216307973,-0.338581239,-0.313851439,-0.234438831,-0.331440656,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
27,atom/atom-shell,atom-shell_20,-0.223316781,-0.234721121,-0.234721121,2.301213279,0.208971246,-0.219936475,-0.218880387,-0.26866389,-0.313851439,-0.234438831,-0.266436557,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
28,atom/atom-shell,atom-shell_17,-0.202491707,0.006205781,0.006205781,-0.625581634,1.854469782,0.708757694,-0.166408987,0.037224515,1.057661208,0.532815524,-0.244768523,0.097179262,178,11,0,1,1,0,0,1,1,1,0,1,0
29,atom/atom-shell,atom-shell_2,-0.226093457,-0.243567249,-0.243567249,-0.695116719,-0.629980961,-0.304769116,-0.22379136,-0.286143227,-0.313851439,-0.234438831,-0.136428357,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
30,atom/atom-shell,atom-shell_3,-0.23164681,-0.250852296,-0.250852296,-0.537082436,0.425010441,-0.327093495,-0.226889949,-0.294882896,-0.313851439,-0.234438831,-0.266436557,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
31,atom/atom-shell,atom-shell_16,-0.234423487,-0.253454098,-0.253454098,1.087509989,-0.70559468,-0.322628619,-0.228906956,-0.294882896,-0.313851439,-0.234438831,-0.244768523,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
